Anio,Computadora,Internet,Televisor,Televisión de paga,Telefonía,Radio,Energía eléctrica
2001,2757980,1454744,21520421,3168446,9444818,0,0
2002,3727071,1827095,22937622,3768301,11116339,0,0
2004,4689043,2264178,23883044,5035133,15628958,0,0
2005,4729762,2294221,23654375,4971739,16451779,22749209,0
2006,5491495,2698062,24860176,5604026,17734962,23539771,0
2007,5937125,3221631,25037949,6628141,19783939,23823506,25787060
2008,7127054,3751870,25885390,6640609,20967438,24246259,27464711
2009,7460463,5119437,26513772,7584194,22101364,23134541,27587340
2010,8444621,6289743,26834313,7558855,22838360,23398102,28158436
2011,9030198,6994654,28472673,9125418,24702793,24343337,29812291
2012,9835865,7933788,29007139,9849450,25555685,24219298,30298815
2013,11146494,9574027,29546248,11438370,26633946,23954367,30930300
2014,12022743,10798467,29787025,11965452,19906923,23011169,31225760
2015,14685210,12810487,30580591,14303987,29188249,21530737,32421988
2016,15184257,15658535,30992631,17339206,30001506,20472575,33084440
2017,15236383,17055332,31374796,16615920,30899589,19733322,33466774
2018,15285544,17974537,31797539,16136639,31514864,19214781,33993049
2019,15504747,19690264,32593577,16089334,32596321,18956235,35089842
2020,15615290,21388838,32623761,15204364,33422743,18328729,35507606
2021,16409787,24327913,33379696,15871850,34740762,17772372,36403291
