anio,cantidad,tipo
2001,2757980,compu
2002,3727071,compu
2004,4689043,compu
2005,4729762,compu
2006,5491495,compu
2007,5937125,compu
2008,7127054,compu
2009,7460463,compu
2010,8444621,compu
2011,9030198,compu
2012,9835865,compu
2013,11146494,compu
2014,12022743,compu
2015,14685210,compu
2016,15184257,compu
2017,15236383,compu
2018,15285544,compu
2019,15504747,compu
2020,15615290,compu
2021,16409787,compu
2001,1454744,net
2002,1827095,net
2004,2264178,net
2005,2294221,net
2006,2698062,net
2007,3221631,net
2008,3751870,net
2009,5119437,net
2010,6289743,net
2011,6994654,net
2012,7933788,net
2013,9574027,net
2014,10798467,net
2015,12810487,net
2016,15658535,net
2017,17055332,net
2018,17974537,net
2019,19690264,net
2020,21388838,net
2021,24327913,net
2001,21520421,Televisor
2002,22937622,Televisor
2004,23883044,Televisor
2005,23654375,Televisor
2006,24860176,Televisor
2007,25037949,Televisor
2008,25885390,Televisor
2009,26513772,Televisor
2010,26834313,Televisor
2011,28472673,Televisor
2012,29007139,Televisor
2013,29546248,Televisor
2014,29787025,Televisor
2015,30580591,Televisor
2016,30992631,Televisor
2017,31374796,Televisor
2018,31797539,Televisor
2019,32593577,Televisor
2020,32623761,Televisor
2021,33379696,Televisor
2001,3168446,cable
2002,3768301,cable
2004,5035133,cable
2005,4971739,cable
2006,5604026,cable
2007,6628141,cable
2008,6640609,cable
2009,7584194,cable
2010,7558855,cable
2011,9125418,cable
2012,9849450,cable
2013,11438370,cable
2014,11965452,cable
2015,14303987,cable
2016,17339206,cable
2017,16615920,cable
2018,16136639,cable
2019,16089334,cable
2020,15204364,cable
2021,15871850,cable
2001,9444818,telefono
2002,11116339,telefono
2004,15628958,telefono
2005,16451779,telefono
2006,17734962,telefono
2007,19783939,telefono
2008,20967438,telefono
2009,22101364,telefono
2010,22838360,telefono
2011,24702793,telefono
2012,25555685,telefono
2013,26633946,telefono
2014,19906923,telefono
2015,29188249,telefono
2016,30001506,telefono
2017,30899589,telefono
2018,31514864,telefono
2019,32596321,telefono
2020,33422743,telefono
2021,34740762,telefono
2005,22749209,radio
2006,23539771,radio
2007,23823506,radio
2008,24246259,radio
2009,23134541,radio
2010,23398102,radio
2011,24343337,radio
2012,24219298,radio
2013,23954367,radio
2014,23011169,radio
2015,21530737,radio
2016,20472575,radio
2017,19733322,radio
2018,19214781,radio
2019,18956235,radio
2020,18328729,radio
2021,17772372,radio
2007,25787060,luz
2008,27464711,luz
2009,27587340,luz
2010,28158436,luz
2011,29812291,luz
2012,30298815,luz
2013,30930300,luz
2014,31225760,luz
2015,32421988,luz
2016,33084440,luz
2017,33466774,luz
2018,33993049,luz
2019,35089842,luz
2020,35507606,luz
2021,36403291,luz
